ID,Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-3,-3.616127121,392.51,3.9581,102.4454,23,0,0,2,17,142,0,0,0,0,0,158.5206006,0,210.3773341
A-4,-3.254767098,169.183,2.4055,51.9012,13,1,1,2,0,62,2,0,1,3,29.1,75.1835629,2.582996394,511.2292477
A-5,-2.177077944,140.569,2.1525,36.8395,9,1,0,2,1,46,1,0,0,1,17.07,58.26113356,3.009781948,202.6610651
A-8,-3.924409095,756.226,8.1161,200.7106,53,6,2,7,10,264,6,0,0,6,120.72,323.7554337,2.32E-07,1964.648666
A-9,-4.662064583,422.525,2.4854,119.076,31,6,0,6,12,164,2,4,4,6,56.6,183.1832685,1.084427317,769.8999341
A-10,-3.123150304,118.179,2.63802,41.27,9,0,0,0,1,46,1,0,0,1,0,55.83662643,3.070760682,211.0332245
A-11,-3.286116314,170.252,2.6775,47.9918,12,1,1,2,4,70,0,1,1,1,37.3,73.97365476,2.145839057,153.9175691
A-12,-2.664548539,376.449,0.5284,96.4382,27,6,4,6,2,148,0,3,4,4,115.06,158.1355418,1.77697793,755.770792
A-17,-2.28276885,149.193,1.5651,46.1565,11,2,0,2,2,58,1,0,0,1,20.31,66.44758523,2.9098228,238.2445752
A-18,-2.394649969,192.258,2.5708,55.991,14,2,0,2,3,76,1,0,0,1,26.3,84.89612314,2.633870023,301.3575849
A-21,-3.43023888,206.285,2.7617,60.377,15,2,0,2,3,82,1,1,1,2,21.76,91.20725723,1.961588002,317.384344
A-22,-3.544059701,260.255,3.7048,61.5015,18,2,0,5,6,100,1,0,0,1,26.3,103.7576715,2.542670431,382.2179844
A-25,-2.958195047,660.282,9.3243,163.396,35,8,0,11,20,208,0,0,0,0,36.92,251.870078,-5.69E-07,523.6422056
A-26,-3.411513885,180.556,3.3588,36.454,11,0,0,4,0,60,1,0,0,1,0,66.59621767,3.059901692,254.1077533
A-27,-3.513468741,228.332,2.7809,63.169,16,3,0,3,7,94,0,1,1,1,38.83,98.50133781,2.374959576,233.3322057
A-28,-4.4543817,218.362,3.0659,62.735,14,3,1,3,8,84,0,0,0,0,26.3,92.81880616,3.092076464,146.2229577
A-30,-3.473139052,202.138,-9.132,18.635,10,6,0,10,0,48,0,0,0,0,126.38,92.74620493,-3.00E-08,73.74860596
A-31,-2.363208098,150.472,-0.6901,19.821,7,2,0,3,1,34,0,0,0,0,40.13,54.98355823,0,75.69058447
A-32,-3.45410264,181.235,1.0351,51.6103,13,3,3,3,4,72,1,0,0,1,52.49,78.02950127,2.597150821,262.8565878
A-33,-2.990876868,604.174,8.0457,144.98,31,8,0,11,14,184,0,0,0,0,36.92,226.4103096,-4.90E-07,495.3092237
A-34,-3.512942193,195.476,3.7322,46.019,10,0,0,3,1,54,1,0,0,1,0,74.70614391,3.069982715,232.2928705
A-48,-2.641819273,499.717,6.8532,143.3074,35,4,1,6,12,192,3,0,0,3,77.43,211.3129154,2.56E-07,1108.112314
A-50,-4.057185148,570.368,2.2511,88.6629,35,4,1,20,14,210,0,0,0,0,86.3,189.2366,5.464762893,857.4056777
A-51,-4.793227892,366.505,3.659,110.6595,27,4,0,4,7,144,2,1,1,3,32.78,162.2917641,1.847540691,736.733482
A-53,-4.587250025,220.356,4.5412,69.7338,16,1,1,1,7,90,1,0,0,1,20.23,99.5101159,2.048582564,273.991355
A-54,-4.451139225,158.244,3.7528,55.858,12,0,0,0,2,62,1,0,0,1,0,74.24184974,3.121805775,289.3151247
A-55,-4.203848464,95.94,-0.0025,0,1,0,0,1,0,6,0,0,0,0,0,21.75656585,0,0
A-56,-4.581332511,198.306,3.6697,58.829,14,2,0,2,6,82,0,0,0,0,26.3,87.33907858,3.297215111,177.2509757
A-62,-0.410897736,1136.328,-14.3013,212.8884,69,26,3,38,15,340,5,0,1,6,433.56,507.5754717,4.76E-06,3615.453397
A-63,-3.893739071,344.502,6.1152,116.138,26,2,0,2,11,134,2,0,0,2,24.72,157.2792416,1.442324565,634.0052066
